policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,pre_train_acc,pre_train_loss,d_acc,d_loss,window
mwm_accdiff_all_ce_cf,1,42,3,ce_peer,6.0,77.49999761581421,0.1,75.55999755859375,0.7046433091163635,77.2599995136261,0.6859268546104431,,,,,,,,1.7000019550323486,-0.01871645450592041,41-60
mwm_accdiff_all_ce_cf,1,42,7,ce_peer,9.0,77.70000100135803,0.1,76.62000060081482,0.6832463145256042,76.38000249862671,0.6949318647384644,,,,,,,,-0.23999810218811035,0.011685550212860107,41-60
mwm_accdiff_all_ce_cf,1,43,1,ce,,,0.1,76.66000127792358,0.7149599194526672,76.35999917984009,0.7087911367416382,9.0,77.70000100135803,77.70000100135803,75.94000101089478,0.7394893765449524,,,-0.3000020980834961,-0.006168782711029053,41-60
mwm_accdiff_all_ce_cf,1,43,8,ce_peer,4.0,77.66000032424927,0.1,74.00000095367432,0.7698730826377869,75.04000067710876,0.7300536036491394,,,,,,,,1.0399997234344482,-0.03981947898864746,41-60
mwm_accdiff_all_ce_cf,1,43,7,ce_peer,3.0,77.2599995136261,0.1,76.38000249862671,0.6949318647384644,76.85999870300293,0.6953138113021851,,,,,,,,0.4799962043762207,0.0003819465637207031,41-60
mwm_accdiff_all_ce_cf,1,43,2,ce_peer,6.0,77.49999761581421,0.1,75.1200020313263,0.7324219346046448,73.37999939918518,0.8123275637626648,,,,,,,,-1.7400026321411133,0.07990562915802002,41-60
mwm_accdiff_all_ce_cf,1,43,5,ce_peer,9.0,77.70000100135803,0.1,74.94000196456909,0.7653512358665466,76.44000053405762,0.7085634469985962,,,,,,,,1.4999985694885254,-0.05678778886795044,41-60
mwm_accdiff_all_ce_cf,1,44,7,ce,,,0.1,76.85999870300293,0.6953138113021851,76.9599974155426,0.7019044756889343,9.0,77.70000100135803,77.70000100135803,77.42000222206116,0.7201388478279114,,,0.09999871253967285,0.006590664386749268,41-60
mwm_accdiff_all_ce_cf,1,44,8,ce_peer,4.0,77.66000032424927,0.1,75.04000067710876,0.7300536036491394,75.3000020980835,0.7221770882606506,,,,,,,,0.26000142097473145,-0.00787651538848877,41-60
mwm_accdiff_all_ce_cf,1,44,2,ce_peer,9.0,77.70000100135803,0.1,73.37999939918518,0.8123275637626648,75.63999891281128,0.7171224355697632,,,,,,,,2.2599995136260986,-0.09520512819290161,41-60
mwm_accdiff_all_ce_cf,1,44,5,ce_peer,3.0,77.2599995136261,0.1,76.44000053405762,0.7085634469985962,77.10000276565552,0.6642776131629944,,,,,,,,0.6600022315979004,-0.04428583383560181,41-60
mwm_accdiff_all_ce_cf,1,44,1,ce_peer,6.0,77.49999761581421,0.1,76.35999917984009,0.7087911367416382,76.7799973487854,0.7032800912857056,,,,,,,,0.4199981689453125,-0.005511045455932617,41-60
mwm_accdiff_all_ce_cf,1,45,7,ce,,,0.1,76.9599974155426,0.7019044756889343,76.88000202178955,0.684670627117157,9.0,77.70000100135803,77.70000100135803,76.09999775886536,0.7204251289367676,,,-0.07999539375305176,-0.017233848571777344,41-60
mwm_accdiff_all_ce_cf,1,45,8,ce_peer,4.0,77.66000032424927,0.1,75.3000020980835,0.7221770882606506,77.16000080108643,0.6735823154449463,,,,,,,,1.8599987030029297,-0.048594772815704346,41-60
