condition,seed,round,pre_acc,arm,d_acc,minus_kd,broken,fixed_peer_agree,fixed_peer_disagree,changed,kl,weight_change_backbone,weight_change_head
ce_head,2,60,36.57999932765961,ce_lowlr,8.04000198841095,8.700001239776611,6.459999829530716,12.1799997985363,2.319999970495701,38.679999113082886,0.46256664395332336,0.11128131661911438,0.17152169114958118
ce_head,2,61,36.57999932765961,kd,0.020000338554382324,0.0,3.4200001507997513,0.7199999876320362,2.72000003606081,14.300000667572021,0.07361309975385666,0.07109882339751394,0.08322054510444389
ce_head,2,61,36.57999932765961,ce_head,0.12000203132629395,0.10000169277191162,4.280000180006027,2.2600000724196434,2.1400000900030136,17.739999294281006,0.24703195691108704,0.0,0.8896557854293251
ce_head,2,61,36.57999932765961,ce,10.199999809265137,10.179999470710754,8.959999680519104,15.880000591278076,3.280000016093254,50.63999891281128,0.7160355448722839,0.1724251008955381,0.6260001975563251
ce_head,2,61,36.57999932765961,ce_lowlr,5.700001120567322,5.6800007820129395,7.760000228881836,10.339999943971634,3.1199999153614044,40.20000100135803,0.4732396900653839,0.039881330885377736,0.2140436385344216
ce_head,2,62,36.68000102043152,kd,-0.48000216484069824,0.0,3.1199999153614044,1.339999958872795,1.3000000268220901,12.02000007033348,0.050367750227451324,0.07134829110115619,0.07204916250998351
ce_head,2,62,36.68000102043152,ce_head,-1.5400022268295288,-1.0600000619888306,8.12000036239624,5.2400000393390656,1.339999958872795,30.979999899864197,0.28569233417510986,0.0,0.9049653949414306
ce_head,2,62,36.68000102043152,ce,9.559997916221619,10.040000081062317,10.639999806880951,17.900000512599945,2.3000000044703484,54.8799991607666,0.6681599617004395,0.19090239180775226,0.6141322262807292
ce_head,2,62,36.68000102043152,ce_lowlr,7.819998264312744,8.300000429153442,7.020000368356705,12.73999959230423,2.0999999716877937,41.999998688697815,0.4553118646144867,0.04466774149823259,0.1906604427555784
ce_head,2,63,36.30000054836273,kd,0.07999837398529053,0.0,2.9999999329447746,0.5799999926239252,2.500000037252903,13.079999387264252,0.06769921630620956,0.07695314175072722,0.08757565099725109
ce_head,2,63,36.30000054836273,ce_head,-1.3400018215179443,-1.4200001955032349,8.51999968290329,4.859999939799309,2.319999970495701,29.48000133037567,0.30095067620277405,0.0,0.7654040929911842
ce_head,2,63,36.30000054836273,ce,13.639998435974121,13.56000006198883,10.740000009536743,20.160000026226044,4.21999990940094,58.420002460479736,0.982620120048523,0.26656417317197745,0.5158457824900466
ce_head,2,63,36.30000054836273,ce_lowlr,5.480000376701355,5.4000020027160645,6.199999898672104,8.460000157356262,3.2200001180171967,34.8800003528595,0.3913974463939667,0.061733521664158374,0.14572597626351574
ce_head,2,64,36.7000013589859,kd,-0.28000175952911377,0.0,4.560000076889992,0.7600000128149986,3.5199999809265137,19.05999928712845,0.23057249188423157,0.10879582610880183,0.2218185644101188
ce_head,2,64,36.7000013589859,ce_head,-0.7400006055831909,-0.45999884605407715,5.35999983549118,2.72000003606081,1.899999938905239,21.17999941110611,0.07319315522909164,0.0,0.6773740390264823
ce_head,2,64,36.7000013589859,ce,11.179998517036438,11.460000276565552,11.640000343322754,17.499999701976776,5.3199999034404755,56.81999921798706,0.9704534411430359,0.548830661275499,0.5460641379832417
ce_head,2,64,36.7000013589859,ce_lowlr,9.299999475479126,9.58000123500824,8.320000022649765,12.81999945640564,4.800000041723251,46.97999954223633,0.4688788950443268,0.13112866390915584,0.12645065407720457
ce_head,2,65,36.5200012922287,kd,-0.1600027084350586,0.0,2.6200000196695328,0.9600000455975533,1.4999999664723873,11.079999804496765,0.05236660689115524,0.07209404696161043,0.0907604505279215
ce_head,2,65,36.5200012922287,ce_head,-1.5200018882751465,-1.359999179840088,5.559999868273735,3.1599998474121094,0.8799999952316284,21.50000035762787,0.31346213817596436,0.0,0.7600366902026415
ce_head,2,65,36.5200012922287,ce,10.119998455047607,10.280001163482666,9.480000287294388,16.859999299049377,2.7400000020861626,51.48000121116638,0.833816409111023,0.22040089911653063,0.5542948496458224
ce_head,2,65,36.5200012922287,ce_lowlr,7.1399986743927,7.300001382827759,6.97999969124794,11.779999732971191,2.3399999365210533,40.880000591278076,0.5148088335990906,0.05146147746115279,0.16124948919289442
ce_head,2,66,36.7000013589859,kd,-0.24000108242034912,0.0,4.500000178813934,0.8200000040233135,3.4400001168251038,19.32000070810318,0.30856087803840637,0.07266275742618558,0.3691382182216224
ce_head,2,66,36.7000013589859,ce_head,-2.160000801086426,-1.9199997186660767,8.179999887943268,3.799999877810478,2.2199999541044235,27.57999897003174,0.08329929411411285,0.0,0.4374849873346067
ce_head,2,66,36.7000013589859,ce,9.919998049736023,10.159999132156372,9.719999879598618,14.9399995803833,4.699999839067459,52.85999774932861,0.5729945302009583,0.1739680359672697,0.5329643744145047
ce_head,2,66,36.7000013589859,ce_lowlr,6.619998812675476,6.859999895095825,7.900000363588333,10.220000147819519,4.30000014603138,42.96000003814697,0.2674144208431244,0.038708135489173116,0.1126134728296385
ce_head,2,67,36.7000013589859,kd,-0.28000175952911377,0.0,3.319999948143959,0.7199999876320362,2.319999970495701,13.580000400543213,0.06722957640886307,0.06865892543486365,0.10754255820804753
ce_head,2,67,36.7000013589859,ce_head,-1.2400001287460327,-0.959998369216919,6.400000303983688,3.500000014901161,1.6599999740719795,23.880000412464142,0.2643930912017822,0.0,0.5745349528781475
ce_head,2,67,36.7000013589859,ce,9.319999814033508,9.600001573562622,10.740000009536743,16.580000519752502,3.4800000488758087,53.29999923706055,0.7040687203407288,0.09281272528511283,0.4643513153039233
ce_head,2,67,36.7000013589859,ce_lowlr,4.699999094009399,4.980000853538513,7.1800000965595245,9.4200000166893,2.459999918937683,36.800000071525574,0.3949284255504608,0.017583727775350756,0.14954766083006368
ce_head,2,68,36.5200012922287,kd,-0.42000114917755127,0.0,3.359999880194664,1.5200000256299973,1.42000000923872,13.79999965429306,0.07839444279670715,0.07122211636562198,0.12254208217584907
ce_head,2,68,36.5200012922287,ce_head,-3.700000047683716,-3.2799988985061646,9.459999948740005,4.619999974966049,1.140000019222498,29.21999990940094,0.3624095022678375,0.0,0.6030483069949794
ce_head,2,68,36.5200012922287,ce,10.499998927116394,10.920000076293945,10.300000011920929,18.76000016927719,2.0400000736117363,54.360002279281616,0.855171799659729,0.18274185047740393,0.4413640315536488
ce_head,2,68,36.5200012922287,ce_lowlr,5.479997396469116,5.8999985456466675,7.079999893903732,10.840000212192535,1.7200000584125519,39.160001277923584,0.4964723289012909,0.04364423979148338,0.13160005221410132
ce_head,2,69,36.660000681877136,kd,-0.5600005388259888,0.0,3.840000182390213,0.9600000455975533,2.319999970495701,14.219999313354492,0.09773654490709305,0.06869404582667417,0.1095276863639142
ce_head,2,69,36.660000681877136,ce_head,-3.139999508857727,-2.5799989700317383,7.620000094175339,3.099999949336052,1.3799999840557575,24.660000205039978,0.275839239358902,0.0,0.6040822932817438
