cond,seed,round,student,pre_acc,arm,val_acc_change,val_agree_peer_change,val_broken,val_fixed_peer_agree,val_fixed_peer_disagree,val_changed,val_changed_to_peer,val_kl,val_conf_change,val_share_wrong_agree_peer,val_share_wrong_disagree_peer,val_agree_peer_before,val_acc_before,train_acc_change,train_agree_peer_change,train_broken,train_fixed_peer_agree,train_fixed_peer_disagree,train_changed,train_changed_to_peer,train_kl,train_conf_change,train_share_wrong_agree_peer,train_share_wrong_disagree_peer,train_agree_peer_before,train_acc_before,weight_change_backbone,weight_change_head,swap_new_backbone_old_head,swap_old_backbone_new_head
CE-shaped,0,8,6,57.03999996185303,kd,-2.999997138977051,17.879998683929443,14.339999854564667,0.7000000216066837,10.639999806880951,38.760000467300415,24.979999661445618,0.4772155284881592,0.06615906953811646,15.780000388622284,27.180001139640808,60.18000245094299,57.03999996185303,-2.8400003910064697,17.93999671936035,14.020000398159027,0.839999970048666,10.339999943971634,37.81999945640564,24.639999866485596,0.4655734896659851,0.06175178289413452,15.5799999833107,26.759999990463257,60.32000184059143,57.66000151634216,0.12399645579392674,0.29685915766852133,-1.4400005340576172,-2.52000093460083
CE-shaped,0,9,2,57.840001583099365,ce,4.399996995925903,4.119998216629028,12.759999930858612,3.5599999129772186,13.600000739097595,41.71999990940094,16.840000450611115,0.5935937166213989,0.03737950697541237,13.87999951839447,28.279998898506165,58.60000252723694,57.840001583099365,4.600000381469727,4.100000858306885,11.980000138282776,3.700000047683716,12.880000472068787,40.00000059604645,16.95999950170517,0.5951371788978577,0.05448036640882492,13.459999859333038,26.94000005722046,60.69999933242798,59.60000157356262,0.16278958717035022,0.24874067973354722,5.799996852874756,0.6399989128112793
CE-shaped,0,9,2,57.840001583099365,kd,2.379995584487915,19.819998741149902,11.999999731779099,1.6200000420212746,12.759999930858612,38.519999384880066,25.760000944137573,0.5048593878746033,0.011200827546417713,13.87999951839447,28.279998898506165,58.60000252723694,57.840001583099365,2.1799981594085693,19.220000505447388,11.540000140666962,1.339999958872795,12.380000203847885,36.660000681877136,24.860000610351562,0.4780406355857849,0.021973898634314537,13.459999859333038,26.94000005722046,60.69999933242798,59.60000157356262,0.12218272883961416,0.26679205238578907,3.279995918273926,-0.1600027084350586
CE-shaped,0,10,7,58.75999927520752,ce,4.680001735687256,7.400000095367432,11.900000274181366,2.9600000008940697,13.619999587535858,40.36000072956085,18.60000044107437,0.5299810767173767,0.021249504759907722,12.359999865293503,28.880000114440918,58.27999711036682,58.75999927520752,5.220001935958862,8.219999074935913,11.20000034570694,2.759999968111515,13.660000264644623,38.82000148296356,18.479999899864197,0.5191461443901062,0.025642849504947662,12.680000066757202,28.15999984741211,59.16000008583069,59.16000008583069,0.1660442375503646,0.27023716672289605,4.620003700256348,0.8000016212463379
CE-shaped,0,10,7,58.75999927520752,kd,1.4999985694885254,19.98000144958496,13.979999721050262,1.6200000420212746,13.860000669956207,41.62000119686127,27.320000529289246,0.5583165884017944,0.010536358691751957,12.359999865293503,28.880000114440918,58.27999711036682,58.75999927520752,1.3999998569488525,20.520001649856567,13.500000536441803,1.0999999940395355,13.79999965429306,40.139999985694885,27.340000867843628,0.5406315922737122,0.009269856847822666,12.680000066757202,28.15999984741211,59.16000008583069,59.16000008583069,0.12141348576766542,0.2940051393233832,2.920001745223999,0.34000277519226074
CE-shaped,0,11,2,62.23999857902527,ce,3.040003776550293,-1.0200023651123047,10.980000346899033,3.7200000137090683,10.300000011920929,34.220001101493835,12.240000069141388,0.5117354393005371,0.03788554668426514,14.399999380111694,23.360000550746918,65.64000248908997,62.23999857902527,2.799999713897705,-1.5999972820281982,10.300000011920929,3.8199998438358307,9.279999881982803,32.40000009536743,11.079999804496765,0.49340102076530457,0.02890968695282936,13.979999721050262,21.81999981403351,67.51999855041504,64.20000195503235,0.17402740056357136,0.25325522241643983,5.019998550415039,0.4400014877319336
CE-shaped,0,11,2,62.23999857902527,kd,2.1000027656555176,16.61999821662903,11.159999668598175,1.4399999752640724,11.819999665021896,34.139999747276306,23.000000417232513,0.46072661876678467,0.012618963606655598,14.399999380111694,23.360000550746918,65.64000248908997,62.23999857902527,2.09999680519104,16.29999876022339,10.360000282526016,1.2799999676644802,11.180000007152557,31.540000438690186,21.780000627040863,0.4325856864452362,0.0023563310969620943,13.979999721050262,21.81999981403351,67.51999855041504,64.20000195503235,0.13519647345529415,0.27057264214610266,3.100001811981201,0.6000041961669922
CE-shaped,0,12,8,63.27999830245972,ce,2.1000027656555176,3.880000114440918,12.399999797344208,2.8599999845027924,11.640000343322754,36.46000027656555,15.50000011920929,0.5134074687957764,-0.018989643082022667,11.36000007390976,25.360000133514404,61.11999750137329,63.27999830245972,3.479999303817749,3.5999953746795654,10.700000077486038,3.200000151991844,10.980000346899033,33.61999988555908,14.620000123977661,0.4837702214717865,-0.016488147899508476,11.400000005960464,23.559999465942383,64.02000188827515,65.03999829292297,0.18785758931237903,0.27167717785908074,3.5400032997131348,1.2800037860870361
CE-shaped,0,12,8,63.27999830245972,kd,-0.18000006675720215,19.620001316070557,14.219999313354492,1.059999968856573,12.980000674724579,38.98000121116638,26.179999113082886,0.6524994969367981,-0.0038279639557003975,11.36000007390976,25.360000133514404,61.11999750137329,63.27999830245972,-0.7200002670288086,16.56000018119812,13.860000669956207,1.2799999676644802,11.860000342130661,36.73999905586243,23.96000027656555,0.6259024143218994,-0.0033977748826146126,11.400000005960464,23.559999465942383,64.02000188827515,65.03999829292297,0.1550629432575335,0.2995571351936034,0.5400002002716064,1.4600038528442383
CE-shaped,0,13,5,64.56000208854675,ce,3.5399973392486572,3.4199953079223633,9.34000015258789,2.8999999165534973,9.97999981045723,30.01999855041504,13.359999656677246,0.37999266386032104,0.024864479899406433,12.939999997615814,22.499999403953552,66.86000227928162,64.56000208854675,4.360002279281616,2.439999580383301,8.340000361204147,3.020000085234642,9.679999947547913,28.18000018596649,12.039999663829803,0.3769727945327759,0.03188241645693779,12.42000013589859,21.279999613761902,68.77999901771545,66.29999876022339,0.18669361272952853,0.23807309223758533,3.299999237060547,0.40000081062316895
