method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CelNet,7,0.02,4,83.53,0.4790358518123627,0.060000000000002274,0.0004461162328720514
CelNet,7,0.05,0,83.29,0.4867109982728958,0.29999999999999716,0.008121262693405185
CelNet,7,0.05,1,83.21,0.48966229734420774,0.38000000000000966,0.011072561764717104
CelNet,7,0.05,2,83.48,0.4814046467781067,0.10999999999999943,0.0028149111986160436
CelNet,7,0.05,3,83.39,0.4845568176984787,0.20000000000000284,0.005967082118988054
CelNet,7,0.05,4,83.31,0.4848143964767456,0.28000000000000114,0.0062246608972549855
CelNet,7,0.1,0,82.57,0.5134241957187653,1.0200000000000102,0.03483446013927466
CelNet,7,0.1,1,81.97,0.5309336330890656,1.6200000000000045,0.052343897509574966
CelNet,7,0.1,2,83.01,0.4969542430639267,0.5799999999999983,0.018364507484436077
CelNet,7,0.1,3,82.63,0.5056745248794555,0.960000000000008,0.027084789299964884
CelNet,7,0.1,4,82.36,0.5103573086261749,1.230000000000004,0.03176757304668426
CelNet,7,0.2,0,78.13,0.6417647555828094,5.460000000000008,0.1631750200033188
CelNet,7,0.2,1,75.76,0.7230869072914123,7.829999999999998,0.2444971717119217
CelNet,7,0.2,2,80.45,0.5728443840980529,3.1400000000000006,0.0942546485185623
CelNet,7,0.2,3,79.46,0.607108412694931,4.13000000000001,0.12851867711544035
CelNet,7,0.2,4,78.55,0.6403530770778656,5.040000000000006,0.16176334149837496
CelNet,8,0.0,0,80.64,0.5753292264938354,0.0,0.0
CelNet,8,0.01,0,80.72,0.574701232433319,-0.0799999999999983,-0.0006279940605163903
CelNet,8,0.01,1,80.69,0.5735445171833038,-0.04999999999999716,-0.0017847093105316514
CelNet,8,0.01,2,80.75,0.570908223772049,-0.10999999999999943,-0.004421002721786471
CelNet,8,0.01,3,80.55,0.5764584921360015,0.09000000000000341,0.0011292656421660885
CelNet,8,0.01,4,80.49,0.5769522299289703,0.15000000000000568,0.0016230034351348843
CelNet,8,0.02,0,80.86,0.5746231208324433,-0.21999999999999886,-0.0007061056613921757
CelNet,8,0.02,1,80.76,0.5727660286426545,-0.12000000000000455,-0.002563197851180976
CelNet,8,0.02,2,80.94,0.5675583482742309,-0.29999999999999716,-0.007770878219604538
CelNet,8,0.02,3,80.49,0.577915620803833,0.15000000000000568,0.0025863943099975195
CelNet,8,0.02,4,80.36,0.5792267844676972,0.28000000000000114,0.0038975579738617094
CelNet,8,0.05,0,80.97,0.5776697849273682,-0.3299999999999983,0.002340558433532758
CelNet,8,0.05,1,80.81,0.5760715358734131,-0.1700000000000017,0.0007423093795776436
CelNet,8,0.05,2,81.19,0.5634034011363983,-0.5499999999999972,-0.011925825357437136
CelNet,8,0.05,3,80.22,0.58474689078331,0.4200000000000017,0.009417664289474548
CelNet,8,0.05,4,80.02,0.5893216071128845,0.6200000000000045,0.01399238061904906
CelNet,8,0.1,0,80.6,0.5942348447799682,0.04000000000000625,0.018905618286132797
