group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
0.9,123,145,45,ce,86.02,-0.10000000000000853,0.09504136443138123,0.4667288661003113,1.6858477592468262
0.9,123,146,46,ce,86.1,0.0799999999999983,0.0953061655163765,0.46723473072052,1.685002326965332
0.9,123,147,47,ce,86.08,-0.01999999999999602,0.0938120186328888,0.46815213561058044,1.678686499595642
0.9,123,148,48,ce,86.12,0.04000000000000625,0.09228450059890747,0.4676513075828552,1.6781963109970093
0.9,123,149,49,ce,86.0,-0.12000000000000455,0.09257853776216507,0.4677959382534027,1.6781902313232422
0.9,123,150,50,ce,86.22,0.21999999999999886,0.09186074137687683,0.4673263728618622,1.6774195432662964
0.9,123,151,51,ce,86.1,-0.12000000000000455,0.09134790301322937,0.46702855825424194,1.6774266958236694
0.9,123,152,52,ce,85.94,-0.1599999999999966,0.0911785438656807,0.46670815348625183,1.6771674156188965
0.9,123,153,53,ce,86.06,0.12000000000000455,0.09106045961380005,0.46668028831481934,1.6769120693206787
0.9,123,154,54,ce,86.08,0.01999999999999602,0.0915740355849266,0.46719399094581604,1.6765965223312378
0.9,123,155,55,ce,86.0,-0.0799999999999983,0.0911698192358017,0.4666294455528259,1.677750825881958
0.9,123,156,56,ce,85.94,-0.060000000000002274,0.09135448932647705,0.46702709794044495,1.6771084070205688
0.9,123,157,57,ce,86.22,0.28000000000000114,0.09195306152105331,0.4675278961658478,1.6769821643829346
0.9,123,158,58,ce,85.94,-0.28000000000000114,0.09257221221923828,0.4677152633666992,1.6766109466552734
0.9,123,159,59,ce,86.18,0.2400000000000091,0.09211432933807373,0.4676656126976013,1.6765676736831665
0.9,123,160,60,ce,86.04,-0.14000000000000057,0.09190351516008377,0.4671296179294586,1.6757986545562744
0.9,1337,1,-99,kl,38.44,26.18,0.6013810634613037,0.8859690427780151,1.7146016359329224
0.9,1337,2,-98,kl,39.42,0.980000000000004,0.6647586226463318,0.7434794902801514,1.5618988275527954
